timestamp,nope,sigma,stock_price,put_net_delta_volume,call_net_delta_volume,totalVolume,date,time,volume
2021-01-22 18:40:03.518000+00:00,37.26108684003774,1.2349238848957786,383.625,-27692462.2,37459951.6,26213645.99999979,2021-01-22,18:40:03,36918.99999978393
2021-01-22 18:41:03.736999+00:00,41.707730364204835,1.35969497773763,383.725,-27264756.1,38229908.6,26290456.000000212,2021-01-22,18:41:03,76810.00000042096
2021-01-22 18:42:03.400000+00:00,37.63536623468854,1.2454260195609392,383.65,-27792591.6,37712019.0,26356665.00000007,2021-01-22,18:42:03,66208.99999985844
2021-01-22 18:43:03.401999+00:00,40.378845979009284,1.3224069972417394,383.71000000000004,-27549175.5,38204049.4,26387267.000000138,2021-01-22,18:43:03,30602.000000067055
2021-01-22 18:44:03.364999+00:00,33.5099677840383,1.1296689389003918,383.625,-28365103.6,37219938.0,26424479.000000097,2021-01-22,18:44:03,37211.99999995902
2021-01-22 18:45:03.024999+00:00,34.808925179624765,1.166117179673793,383.635,-28312248.7,37525550.9,26468218.00000007,2021-01-22,18:45:03,43738.99999997392
2021-01-22 18:46:02.828999+00:00,33.620614553805254,1.1327736443502916,383.555,-28458915.8,37383753.7,26545731.00000003,2021-01-22,18:46:02,77512.99999995902
2021-01-22 18:47:02.447000+00:00,26.348830910502457,0.9287302153789219,383.485,-29335352.3,36347481.3,26612676.000000484,2021-01-22,18:47:02,66945.00000045449
2021-01-22 18:48:03.184000+00:00,24.339859104541613,0.8723592456000584,383.49,-29582510.9,36073118.9,26666580.00000052,2021-01-22,18:48:03,53904.00000003725
2021-01-22 18:49:03.212000+00:00,23.451294085211625,0.8474264557507506,383.5,-29737323.5,35997854.0,26695885.000000436,2021-01-22,18:49:03,29304.99999991432
2021-01-22 18:50:02.580000+00:00,26.83548814528059,0.9423856286569707,383.515,-29408968.6,36578197.8,26715479.00000026,2021-01-22,18:50:02,19593.99999982491
2021-01-22 18:51:03.281999+00:00,26.795727815632297,0.9412699692264345,383.515,-29434016.0,36597750.4,26734614.000000272,2021-01-22,18:51:03,19135.000000011176
2021-01-22 18:52:02.863000+00:00,24.19187252578183,0.868206799590516,383.48,-29763080.9,36234742.1,26751386.000000644,2021-01-22,18:52:02,16772.00000037253
2021-01-22 18:53:02.470000+00:00,23.880939715367557,0.859482145512687,383.485,-29805572.3,36196065.2,26759805.000000373,2021-01-22,18:53:02,8418.999999728054
2021-01-22 18:54:02.940999+00:00,22.92110064345708,0.8325494333886561,383.485,-29936830.0,36077135.0,26788875.00000038,2021-01-22,18:54:02,29070.00000000745
2021-01-22 18:55:02.560999+00:00,22.947744233968333,0.8332970422057902,383.485,-29949753.7,36102579.3,26812333.000000477,2021-01-22,18:55:02,23458.000000096858
